2019-11-17 11:40:00.666972, [INFO] New scenario manager or reset. Reading in all scenarios from storage!
2019-11-17 11:40:00.778688, [INFO] Registering agent factory for CONTROLLER
2019-11-17 11:40:00.782257, [INFO] Registering agent factory for CAR
2019-11-17 11:40:25.261149, [INFO] Round #253 Step #1.0, collect_data=True
2019-11-17 11:40:25.304513, [INFO] Round #254 Step #1.0, collect_data=True
2019-11-17 11:40:25.351071, [INFO] Round #255 Step #1.0, collect_data=True
2019-11-17 11:40:25.413976, [INFO] Round #256 Step #1.0, collect_data=True
2019-11-17 11:40:25.453523, [INFO] Round #257 Step #1.0, collect_data=True
2019-11-17 11:40:25.504068, [INFO] Round #258 Step #1.0, collect_data=True
2019-11-17 11:40:25.541651, [INFO] Round #259 Step #1.0, collect_data=True
2019-11-17 11:40:25.577718, [INFO] Round #260 Step #1.0, collect_data=True
2019-11-17 11:40:25.616408, [INFO] Round #261 Step #1.0, collect_data=True
2019-11-17 11:40:25.655919, [INFO] Round #262 Step #1.0, collect_data=True
2019-11-17 11:40:25.692951, [INFO] Round #263 Step #1.0, collect_data=True
2019-11-17 11:40:25.730056, [INFO] Round #264 Step #1.0, collect_data=True
2019-11-17 11:40:25.764081, [INFO] Round #265 Step #1.0, collect_data=True
2019-11-17 11:40:25.825549, [INFO] Round #266 Step #1.0, collect_data=True
2019-11-17 11:40:25.933721, [INFO] Round #267 Step #1.0, collect_data=True
2019-11-17 11:40:25.999775, [INFO] Round #268 Step #1.0, collect_data=True
2019-11-17 11:40:26.079252, [INFO] Round #269 Step #1.0, collect_data=True
2019-11-17 11:40:26.120327, [INFO] Round #270 Step #1.0, collect_data=True
2019-11-17 11:40:26.154457, [INFO] Round #271 Step #1.0, collect_data=True
2019-11-17 11:40:26.199201, [INFO] Round #272 Step #1.0, collect_data=True
2019-11-17 11:40:26.239037, [INFO] Round #273 Step #1.0, collect_data=True
2019-11-17 11:40:26.291205, [INFO] Round #274 Step #1.0, collect_data=True
2019-11-17 11:40:26.327214, [INFO] Round #275 Step #1.0, collect_data=True
2019-11-17 11:40:26.382020, [INFO] Round #276 Step #1.0, collect_data=True
2019-11-17 11:40:26.466843, [INFO] Round #277 Step #1.0, collect_data=True
2019-11-17 11:40:26.557349, [INFO] Round #278 Step #1.0, collect_data=True
2019-11-17 11:40:26.618394, [INFO] Round #279 Step #1.0, collect_data=True
2019-11-17 11:40:26.664061, [INFO] Round #280 Step #1.0, collect_data=True
2019-11-17 11:40:26.702020, [INFO] Round #281 Step #1.0, collect_data=True
2019-11-17 11:40:26.743901, [INFO] Round #282 Step #1.0, collect_data=True
2019-11-17 11:40:26.781354, [INFO] Round #283 Step #1.0, collect_data=True
2019-11-17 11:40:26.841823, [INFO] Round #284 Step #1.0, collect_data=True
2019-11-17 11:40:27.152159, [INFO] Round #285 Step #1.0, collect_data=True
2019-11-17 11:40:27.386664, [INFO] Round #286 Step #1.0, collect_data=True
2019-11-17 11:40:27.568968, [INFO] Round #287 Step #1.0, collect_data=True
2019-11-17 11:40:27.780598, [INFO] Round #288 Step #1.0, collect_data=True
2019-11-17 11:40:27.942633, [INFO] Round #289 Step #1.0, collect_data=True
2019-11-17 11:40:28.017115, [INFO] Round #290 Step #1.0, collect_data=True
2019-11-17 11:40:28.080345, [INFO] Round #291 Step #1.0, collect_data=True
2019-11-17 11:40:28.191690, [INFO] Round #292 Step #1.0, collect_data=True
2019-11-17 11:40:28.251114, [INFO] Round #293 Step #1.0, collect_data=True
2019-11-17 11:40:28.306182, [INFO] Round #294 Step #1.0, collect_data=True
2019-11-17 11:40:28.373613, [INFO] Round #295 Step #1.0, collect_data=True
2019-11-17 11:40:28.429543, [INFO] Round #296 Step #1.0, collect_data=True
2019-11-17 11:40:28.486702, [INFO] Round #297 Step #1.0, collect_data=True
2019-11-17 11:40:28.543664, [INFO] Round #298 Step #1.0, collect_data=True
2019-11-17 11:40:28.594161, [INFO] Round #299 Step #1.0, collect_data=True
2019-11-17 11:40:28.665782, [INFO] Round #300 Step #1.0, collect_data=True
2019-11-17 11:40:28.734413, [INFO] Round #301 Step #1.0, collect_data=True
2019-11-17 11:40:28.821477, [INFO] Round #302 Step #1.0, collect_data=True
2019-11-17 11:40:28.924827, [INFO] Round #303 Step #1.0, collect_data=True
2019-11-17 11:40:28.990318, [INFO] Round #304 Step #1.0, collect_data=True
2019-11-17 11:40:29.083792, [INFO] Round #305 Step #1.0, collect_data=True
2019-11-17 11:40:29.164976, [INFO] Round #306 Step #1.0, collect_data=True
2019-11-17 11:40:29.311856, [INFO] Round #307 Step #1.0, collect_data=True
2019-11-17 11:40:29.417100, [INFO] Round #308 Step #1.0, collect_data=True
2019-11-17 11:40:29.542629, [INFO] Round #309 Step #1.0, collect_data=True
2019-11-17 11:40:29.710985, [INFO] Round #310 Step #1.0, collect_data=True
2019-11-17 11:40:29.879974, [INFO] Round #311 Step #1.0, collect_data=True
2019-11-17 11:40:29.987246, [INFO] Round #312 Step #1.0, collect_data=True
2019-11-17 11:40:30.181024, [INFO] Round #313 Step #1.0, collect_data=True
2019-11-17 11:40:30.313192, [INFO] Round #314 Step #1.0, collect_data=True
2019-11-17 11:40:30.374242, [INFO] Round #315 Step #1.0, collect_data=True
2019-11-17 11:40:30.423960, [INFO] Round #316 Step #1.0, collect_data=True
2019-11-17 11:40:30.463168, [INFO] Round #317 Step #1.0, collect_data=True
2019-11-17 11:40:30.507197, [INFO] Round #318 Step #1.0, collect_data=True
2019-11-17 11:40:30.557573, [INFO] Round #319 Step #1.0, collect_data=True
2019-11-17 11:40:30.604947, [INFO] Round #320 Step #1.0, collect_data=True
2019-11-17 11:40:30.652647, [INFO] Round #321 Step #1.0, collect_data=True
2019-11-17 11:40:30.689362, [INFO] Round #322 Step #1.0, collect_data=True
2019-11-17 11:40:30.747547, [INFO] Round #323 Step #1.0, collect_data=True
2019-11-17 11:40:30.783411, [INFO] Round #324 Step #1.0, collect_data=True
2019-11-17 11:40:30.818411, [INFO] Round #325 Step #1.0, collect_data=True
2019-11-17 11:40:30.869399, [INFO] Round #326 Step #1.0, collect_data=True
2019-11-17 11:40:30.905081, [INFO] Round #327 Step #1.0, collect_data=True
2019-11-17 11:40:30.974509, [INFO] Round #328 Step #1.0, collect_data=True
2019-11-17 11:40:31.017914, [INFO] Round #329 Step #1.0, collect_data=True
2019-11-17 11:40:31.063676, [INFO] Round #330 Step #1.0, collect_data=True
